vds	Id(M1)
7.449999999999982e+00	3.861033e-01
7.499999999999981e+00	3.865595e-01
7.549999999999981e+00	3.870156e-01
7.599999999999981e+00	3.874717e-01
7.649999999999981e+00	3.879278e-01
7.699999999999981e+00	3.883838e-01
7.749999999999980e+00	3.888398e-01
7.799999999999980e+00	3.892957e-01
7.849999999999980e+00	3.897516e-01
7.899999999999980e+00	3.902075e-01
7.949999999999980e+00	3.906633e-01
7.999999999999980e+00	3.911191e-01
8.049999999999979e+00	3.915748e-01
8.099999999999980e+00	3.920305e-01
8.149999999999981e+00	3.924862e-01
8.199999999999982e+00	3.929418e-01
8.249999999999982e+00	3.933974e-01
8.299999999999983e+00	3.938529e-01
8.349999999999984e+00	3.943084e-01
8.399999999999984e+00	3.947639e-01
8.449999999999985e+00	3.952193e-01
8.499999999999986e+00	3.956746e-01
8.549999999999986e+00	3.961300e-01
8.599999999999987e+00	3.965853e-01
8.649999999999988e+00	3.970405e-01
8.699999999999989e+00	3.974958e-01
8.749999999999989e+00	3.979509e-01
8.799999999999990e+00	3.984061e-01
8.849999999999991e+00	3.988612e-01
8.899999999999991e+00	3.993163e-01
8.949999999999992e+00	3.997713e-01
9.000000000000000e+00	4.002262e-01
