time	V(n009)
5.288169390841535e-03	-9.848980e-01
5.326922689259384e-03	-9.356948e-01
5.366922689259201e-03	-8.390765e-01
5.406922689259019e-03	-6.857044e-01
5.446922689258837e-03	-4.820760e-01
5.486922689258655e-03	-2.453670e-01
5.526922689258473e-03	5.774614e-03
5.566922689258291e-03	2.535943e-01
5.606922689258109e-03	4.816872e-01
5.646922689257927e-03	6.759540e-01
5.686922689257745e-03	8.290003e-01
5.716371835235989e-03	9.121361e-01
5.732844666475057e-03	9.442808e-01
5.747916990747282e-03	9.632137e-01
5.764225746696106e-03	9.730307e-01
5.788152149886816e-03	9.670912e-01
5.826894925394566e-03	9.168836e-01
5.866894925394384e-03	8.174790e-01
5.906894925394202e-03	6.699602e-01
5.946894925394020e-03	4.814250e-01
5.986894925393837e-03	2.616960e-01
6.026894925393655e-03	2.284016e-02
6.066894925393473e-03	-2.211274e-01
6.106894925393291e-03	-4.549432e-01
6.146894925393109e-03	-6.631489e-01
6.186894925392927e-03	-8.350281e-01
6.216361332640030e-03	-9.326879e-01
6.232831619199963e-03	-9.704454e-01
6.247918503791805e-03	-9.896736e-01
6.264226309148135e-03	-9.955452e-01
6.288153064326618e-03	-9.849340e-01
6.326896397964354e-03	-9.357638e-01
6.366896397964172e-03	-8.391770e-01
6.406896397963990e-03	-6.858401e-01
6.446896397963808e-03	-4.822383e-01
6.486896397963626e-03	-2.455441e-01
6.526896397963444e-03	5.594320e-03
6.566896397963262e-03	2.534221e-01
6.606896397963080e-03	4.815331e-01
6.646896397962898e-03	6.758264e-01
6.686896397962716e-03	8.288995e-01
6.716361889698597e-03	9.121001e-01
6.732832311229675e-03	9.442470e-01
6.747918423539279e-03	9.632001e-01
6.764226279315722e-03	9.730181e-01
6.788153015825138e-03	9.670777e-01
6.826896319859888e-03	9.168682e-01
6.866896319859705e-03	8.174620e-01
6.906896319859523e-03	6.699417e-01
6.946896319859341e-03	4.814053e-01
6.986896319859159e-03	2.616756e-01
7.026896319858977e-03	2.281943e-02
7.066896319858795e-03	-2.211480e-01
7.106896319858613e-03	-4.549630e-01
7.146896319858431e-03	-6.631675e-01
7.186896319858249e-03	-8.350452e-01
7.216361860152620e-03	-9.327014e-01
7.232832274524981e-03	-9.704595e-01
7.247918427795597e-03	-9.896877e-01
7.264226280897734e-03	-9.955605e-01
7.288153018397470e-03	-9.849500e-01
7.326896324002519e-03	-9.357793e-01
7.366896324002337e-03	-8.391908e-01
7.406896324002155e-03	-6.858524e-01
7.446896324001973e-03	-4.822498e-01
7.486896324001791e-03	-2.455552e-01
7.526896324001608e-03	5.583445e-03
7.566896324001426e-03	2.534114e-01
7.606896324001244e-03	4.815227e-01
7.646896324001062e-03	6.758162e-01
