time	V(n023)
9.066896323791429e-03	-2.225867e-01
9.106896323791247e-03	-4.285579e-01
9.146896323791065e-03	-6.130287e-01
9.186896323790883e-03	-7.659296e-01
9.216361861640543e-03	-8.531049e-01
9.232832276373504e-03	-8.883692e-01
9.247918427580881e-03	-9.101990e-01
9.264226280817578e-03	-9.226554e-01
9.288153018266687e-03	-9.190294e-01
9.326896323791800e-03	-8.686764e-01
9.366896323791618e-03	-7.644751e-01
9.406896323791436e-03	-6.086950e-01
9.446896323791254e-03	-4.117648e-01
9.486896323791072e-03	-1.875654e-01
9.526896323790890e-03	4.823905e-02
9.566896323790708e-03	2.791134e-01
9.606896323790526e-03	4.884743e-01
9.646896323790344e-03	6.611903e-01
9.686896323790162e-03	7.896289e-01
9.716361861640266e-03	8.534208e-01
9.732832276373227e-03	8.748758e-01
9.747918427581048e-03	8.847308e-01
9.764226280817745e-03	8.858441e-01
9.788153018266854e-03	8.698278e-01
9.826896323791967e-03	8.096079e-01
9.866896323791785e-03	7.083672e-01
9.906896323791603e-03	5.686852e-01
9.946896323791421e-03	3.970867e-01
9.986896323791239e-03	2.038731e-01
1.000000000000023e-02	1.366361e-01
