time	V(vo)	V(n009)
5.216361861624996e-03	-1.015688e+00	-9.325362e-01
5.232832276353960e-03	-1.030965e+00	-9.702874e-01
5.247918427583098e-03	-1.032376e+00	-9.895042e-01
5.264226280818463e-03	-1.021219e+00	-9.953665e-01
5.288153018268460e-03	-9.811219e-01	-9.847504e-01
5.326896323794461e-03	-8.705980e-01	-9.355862e-01
5.366896323794279e-03	-7.067922e-01	-8.390145e-01
5.406896323794097e-03	-4.985572e-01	-6.856918e-01
5.446896323793915e-03	-2.605082e-01	-4.820980e-01
5.486896323793733e-03	-9.356681e-03	-2.454081e-01
5.526896323793551e-03	2.381337e-01	5.727062e-03
5.566896323793369e-03	4.664512e-01	2.535520e-01
5.606896323793187e-03	6.623487e-01	4.816603e-01
5.646896323793005e-03	8.155062e-01	6.759510e-01
5.686896323792823e-03	9.223540e-01	8.290218e-01
5.716361861641150e-03	9.699295e-01	9.122210e-01
5.732832276374555e-03	9.819929e-01	9.443670e-01
5.747918427581045e-03	9.826947e-01	9.633194e-01
5.764226280817741e-03	9.730755e-01	9.731367e-01
5.788153018266851e-03	9.393366e-01	9.671953e-01
5.826896323791964e-03	8.459202e-01	9.169846e-01
5.866896323791781e-03	7.047750e-01	8.175772e-01
5.906896323791599e-03	5.198168e-01	6.700646e-01
5.946896323791417e-03	2.999466e-01	4.815420e-01
5.986896323791235e-03	5.732071e-02	2.618114e-01
6.026896323791053e-03	-1.933615e-01	2.294373e-02
6.066896323790871e-03	-4.357554e-01	-2.210313e-01
6.106896323790689e-03	-6.531596e-01	-4.548502e-01
6.146896323790507e-03	-8.299778e-01	-6.630566e-01
6.186896323790325e-03	-9.574584e-01	-8.349354e-01
6.216361861639985e-03	-1.015763e+00	-9.325909e-01
6.232832276372502e-03	-1.031039e+00	-9.703456e-01
6.247918427581212e-03	-1.032449e+00	-9.895682e-01
6.264226280817908e-03	-1.021292e+00	-9.954359e-01
6.288153018267462e-03	-9.811946e-01	-9.848229e-01
6.326896323793019e-03	-8.706696e-01	-9.356558e-01
6.366896323792837e-03	-7.068627e-01	-8.390760e-01
6.406896323792655e-03	-4.986265e-01	-6.857458e-01
6.446896323792473e-03	-2.605763e-01	-4.821481e-01
6.486896323792291e-03	-9.423554e-03	-2.454564e-01
6.526896323792108e-03	2.380680e-01	5.679927e-03
6.566896323791926e-03	4.663867e-01	2.535058e-01
6.606896323791744e-03	6.622853e-01	4.816150e-01
6.646896323791562e-03	8.154438e-01	6.759065e-01
6.686896323791380e-03	9.222925e-01	8.289780e-01
6.716361861641040e-03	9.698686e-01	9.121777e-01
6.732832276374001e-03	9.819323e-01	9.443240e-01
6.747918427580935e-03	9.826344e-01	9.632766e-01
6.764226280818075e-03	9.730155e-01	9.730942e-01
6.788153018267629e-03	9.392770e-01	9.671531e-01
6.826896323793630e-03	8.458611e-01	9.169427e-01
6.866896323793448e-03	7.047165e-01	8.175359e-01
6.906896323793266e-03	5.197588e-01	6.700236e-01
6.946896323793084e-03	2.998890e-01	4.815013e-01
6.986896323792902e-03	5.726352e-02	2.617711e-01
7.026896323792720e-03	-1.934184e-01	2.290368e-02
7.066896323792538e-03	-4.358118e-01	-2.210711e-01
7.106896323792355e-03	-6.532156e-01	-4.548896e-01
7.146896323792173e-03	-8.300333e-01	-6.630958e-01
7.186896323791991e-03	-9.575134e-01	-8.349742e-01
7.216361861640763e-03	-1.015817e+00	-9.326304e-01
7.232832276373724e-03	-1.031093e+00	-9.703877e-01
7.247918427581101e-03	-1.032504e+00	-9.896145e-01
7.264226280818242e-03	-1.021346e+00	-9.954861e-01
7.288153018267796e-03	-9.812480e-01	-9.848753e-01
7.326896323793797e-03	-8.707222e-01	-9.357061e-01
7.366896323793615e-03	-7.069144e-01	-8.391206e-01
7.406896323793433e-03	-4.986773e-01	-6.857849e-01
7.446896323793251e-03	-2.606263e-01	-4.821844e-01
7.486896323793069e-03	-9.472628e-03	-2.454914e-01
7.526896323792887e-03	2.380198e-01	5.645829e-03
7.566896323792704e-03	4.663393e-01	2.534723e-01
7.606896323792522e-03	6.622387e-01	4.815822e-01
7.646896323792340e-03	8.153980e-01	6.758742e-01
